user,time,,checkin_checkout,,
13,2/4/2022 19:18,1,1,1,0
7,2/4/2022 20:03,1,1,1,0
15,2/4/2022 20:33,1,1,1,0
4,2/4/2022 20:43,1,1,1,0
3,2/4/2022 20:43,1,1,1,0
17,2/4/2022 20:43,1,1,1,0
12,2/4/2022 20:45,1,1,1,0
25,2/4/2022 20:46,1,1,1,0
14,2/4/2022 20:46,1,1,1,0
5,2/4/2022 20:46,1,1,1,0
6,2/4/2022 20:49,1,1,1,0
10,2/4/2022 20:51,1,1,1,0
28,2/4/2022 20:51,1,1,1,0
9,2/4/2022 20:51,1,1,1,0
18,2/4/2022 20:57,1,1,1,0
20,2/4/2022 20:57,1,1,1,0
27,2/4/2022 21:17,1,1,1,0
11,2/4/2022 21:47,1,1,1,0
8,2/5/2022 3:00,1,1,1,0
8,2/5/2022 11:03,1,0,1,0
25,2/5/2022 11:31,1,0,1,0
11,2/5/2022 11:48,1,1,1,0
28,2/5/2022 11:55,1,0,1,0
10,2/5/2022 12:16,1,0,1,0
6,2/5/2022 12:16,1,0,1,0
3,2/5/2022 12:23,1,0,1,0
200,2/5/2022 12:40,1,0,1,0
9,2/5/2022 12:46,1,0,1,0
18,2/5/2022 12:53,1,0,1,0
20,2/5/2022 12:53,1,0,1,0
12,2/5/2022 12:56,1,0,1,0
14,2/5/2022 12:59,1,0,1,0
5,2/5/2022 13:05,1,0,1,0
7,2/5/2022 13:42,1,0,1,0
1,2/5/2022 13:43,1,0,1,0
4,2/5/2022 13:43,1,0,1,0
13,2/5/2022 14:19,1,0,1,0
27,2/5/2022 14:55,1,0,1,0
15,2/5/2022 15:02,1,0,1,0
11,2/5/2022 16:21,1,1,1,0
200,2/5/2022 18:25,1,1,1,0
28,2/5/2022 18:57,1,1,1,0
15,2/5/2022 18:57,1,1,1,0
13,2/5/2022 19:01,1,1,1,0
17,2/5/2022 19:12,1,1,1,0
6,2/5/2022 19:50,1,1,1,0
27,2/5/2022 19:50,1,1,1,0
4,2/5/2022 20:08,1,1,1,0
10,2/5/2022 20:11,1,1,1,0
1,2/5/2022 20:12,1,1,1,0
7,2/5/2022 20:13,1,1,1,0
5,2/5/2022 20:13,1,1,1,0
14,2/5/2022 20:13,1,1,1,0
12,2/5/2022 20:15,1,1,1,0
9,2/5/2022 20:16,1,1,1,0
20,2/5/2022 20:21,1,1,1,0
18,2/5/2022 20:21,1,0,1,0
3,2/5/2022 20:23,1,1,1,0
8,2/6/2022 1:25,1,1,1,0
8,2/6/2022 13:53,1,0,1,0
8,2/6/2022 23:22,1,1,1,0
25,2/7/2022 10:37,1,0,1,0
8,2/7/2022 12:05,1,0,1,0
9,2/7/2022 12:29,1,0,1,0
14,2/7/2022 12:31,1,0,1,0
200,2/7/2022 12:31,1,0,1,0
18,2/7/2022 12:37,1,1,1,0
20,2/7/2022 12:37,1,1,1,0
28,2/7/2022 12:37,1,0,1,0
1,2/7/2022 12:40,1,0,1,0
7,2/7/2022 12:40,1,0,1,0
10,2/7/2022 12:40,1,0,1,0
3,2/7/2022 12:40,1,0,1,0
